step,t,tid,truth,subtype,x,y,pred,p_uav,threat,d_asset,reco,kill
5,10.0,T17,balloon,고고도 미사일 풍선,-3.661408203441547,1.1473949629108502,풍선,0.15,52.5,2.14,포획·유도 회수,soft
5,10.0,T18,bird,조류,-0.7712611860376101,-3.7511646939492445,새/기타,0.1,25.5,3.83,감시 지속,none
5,10.0,T19,bird,조류,1.0386356576137563,-3.765434758946843,새/기타,0.1,25.5,3.91,감시 지속,none
6,12.0,T01,drone,고정익,2.7889132929540046,2.717287650551934,드론,0.95,84.1,1.74,물리 요격(최후수단),hard
6,12.0,T02,bird,조류,-4.214489143286881,-0.7247992718649076,새/기타,0.1,25.5,3.91,감시 지속,none
6,12.0,T03,balloon,오물풍선,-0.6096188422781542,-3.756576806566103,풍선,0.15,12.2,3.81,감시 지속,none
6,12.0,T04,balloon,고고도 미사일 풍선,-4.289794608887081,0.41355371027064447,풍선,0.15,27.0,3.1,감시 지속,none
6,12.0,T05,drone,자폭형(FPV),-3.5542838705581103,0.5576592121666677,드론,0.95,75.2,2.49,물리 요격(최후수단),hard
6,12.0,T06,bird,조류,-3.9101851371520175,-2.3271698659349607,새/기타,0.1,25.5,4.55,감시 지속,none
6,12.0,T07,balloon,오물풍선,3.1431919838212092,-2.6494413576817983,풍선,0.15,27.0,3.71,감시 지속,none
6,12.0,T08,bird,조류,-4.384282341447314,0.9643614784071497,새/기타,0.1,22.1,2.84,감시 지속,none
6,12.0,T09,balloon,고고도 미사일 풍선,-1.5758190732177102,4.5660759920848575,풍선,0.15,33.9,2.11,감시 지속,none
6,12.0,T10,bird,조류,3.420414799401763,-1.8491295426894194,새/기타,0.1,17.9,2.99,감시 지속,none
6,12.0,T11,drone,고정익,3.63441404888598,1.4846064640512173,드론,0.95,89.2,1.23,물리 요격(최후수단),hard
6,12.0,T12,drone,고정익,3.8629804833720245,1.8578722391195845,드론,0.95,85.4,1.61,물리 요격(최후수단),hard
6,12.0,T13,drone,회전익(헬기형),3.3042936904325724,-2.7917411366752876,드론,0.95,35.0,3.88,감시 지속,none
6,12.0,T14,bird,조류,2.9929835413432033,-2.833473000854253,새/기타,0.1,6.5,3.87,감시 지속,none
6,12.0,T16,bird,조류,-1.2807910865767171,-3.932010202494626,새/기타,0.1,6.5,4.14,감시 지속,none
6,12.0,T17,balloon,고고도 미사일 풍선,-3.7516395114843917,1.2148753100018406,풍선,0.15,33.2,2.17,감시 지속,none
6,12.0,T18,bird,조류,-0.7167485759384249,-3.680200724121557,새/기타,0.1,25.5,3.75,감시 지속,none
6,12.0,T19,bird,조류,1.0286574651321876,-3.846843536858538,새/기타,0.1,6.5,3.98,감시 지속,none
7,14.0,T00,bird,조류,-4.533882470004057,-0.5668534998341757,새/기타,0.1,6.5,3.98,감시 지속,none
